index	auroc	auprc	hit1	hit10	n_true_pos	n_true_neg
count	6824.0	6824.0	6824.0	6824.0	6824.0	6824.0
mean	0.8976588577976118	0.27426388955984576	0.5137749120750293	0.6970984759671747	20.316529894490035	9813.214830011724
std	0.13802886723705193	0.2991886598006903	0.4998468413035081	0.4595466656283121	22.860537534758855	26.87621801350563
min	0.004167937379282338	5.103603143819537e-05	0.0	0.0	1.0	9736.0
25%	0.8621281421780299	0.01638949209790685	0.0	0.0	3.0	9801.0
50%	0.947887936153017	0.1508120487510776	1.0	1.0	10.0	9824.0
75%	0.9895452501564024	0.4787716485525755	1.0	1.0	27.0	9834.0
max	1.0	1.0000000000000002	1.0	1.0	105.0	9840.0
