index	auroc	auprc	hit1	hit10	n_true_pos	n_true_neg
count	8105.0	8105.0	8105.0	8105.0	8105.0	8105.0
mean	0.6254935941789227	0.07169768421680708	0.2639111659469463	0.44552745219000617	142.79259716224553	15297.006045650833
std	0.20617037713572436	0.12449855266244797	0.44077889419588157	0.4970545486676194	175.1354596153725	189.95395760510607
min	0.015942310179795638	3.284072249589491e-05	0.0	0.0	1.0	14914.0
25%	0.5094874053030303	0.0022872341413592377	0.0	0.0	12.0	15247.0
50%	0.6298192179210061	0.01728251152613095	0.0	0.0	61.0	15386.0
75%	0.7859777261886984	0.07835988278807343	1.0	1.0	204.0	15429.0
max	1.0	1.0	1.0	1.0	566.0	15479.0
