index	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
count	181.0	181.0	181.0	181.0	181.0	181.0	181.0
mean	0.7323189185747557	0.04974850223570345	0.1127628029795604	0.22190499779879863	28.849208477940994	15434.974213520929	44.773480662983424
std	0.19115569866810692	0.12088720124430302	0.21170294108419996	0.28728790746212995	67.11688252471572	79.08746075378197	79.12920912824875
min	0.1440854550900731	4.12259206758438e-05	0.0	0.0	1.0	14913.0	2.0
25%	0.6230574760920135	0.0009570637229807567	0.0	0.0	2.5	15426.0	7.0
50%	0.7563133592405	0.005974915715270365	0.0	0.05555555555555555	7.111111111111111	15461.0	19.0
75%	0.8723250639362575	0.039201253964549175	0.1267605633802817	0.4230769230769231	26.0	15473.0	54.0
max	1.0	1.0	1.0	1.0	482.8479427549195	15478.0	567.0
