index	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
count	181.0	181.0	181.0	181.0	181.0	181.0	181.0
mean	0.732173642934304	0.02420236842203309	0.05438848438870762	0.14775268071510045	28.849208477940994	15434.974213520929	44.773480662983424
std	0.15637920149175283	0.07225870104208652	0.1362771728061205	0.24137822795045022	67.11688252471572	79.08746075378197	79.12920912824875
min	0.3265544571514721	6.216466903511096e-05	0.0	0.0	1.0	14913.0	2.0
25%	0.6405529086621063	0.0006650758888660844	0.0	0.0	2.5	15426.0	7.0
50%	0.7479423070508593	0.0033596364194528666	0.0	0.0	7.111111111111111	15461.0	19.0
75%	0.850345718901454	0.013531603477303712	0.03333333333333333	0.18333333333333332	26.0	15473.0	54.0
max	0.9997088843555111	0.7140245293848577	0.926829268292683	1.0	482.8479427549195	15478.0	567.0
