index	auroc	auprc	hit1	hit10	n_true_pos	n_true_neg
count	31429.0	31429.0	31429.0	31429.0	31429.0	31429.0
mean	0.5007447650151476	0.012035335932656197	0.013077094403258138	0.09357599669095422	381.9447643895765	33108.57879665277
std	0.08261915874651878	0.024413359590023005	0.11360675446829874	0.29124255936681237	778.6044294651554	1353.0303000348747
min	0.0013330963384287076	1.4831074066383888e-05	0.0	0.0	1.0	29649.0
25%	0.47745668011611264	0.0005873105127423457	0.0	0.0	17.0	33503.0
50%	0.5016197867747623	0.0018217369113209692	0.0	0.0	56.0	33673.0
75%	0.5232338949653077	0.005665261261991763	0.0	0.0	184.0	33733.0
max	0.9986671405722409	0.12596251922964313	1.0	1.0	4108.0	33766.0
