CF	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
2000000	0.5145030555273796	0.013830037619408264	0.09574468085106383	0.4574468085106383	77.51063829787235	11756.627659574468	94
2000001	0.8283606234526221	0.0028673375184490916	0.0	0.0	1.3333333333333333	11848.0	3
2000002	0.4748153754060823	0.0007715375112445008	0.0	0.0	7.238095238095238	11809.0	42
2000003	0.7883761110066425	0.015495751002268925	0.04878048780487805	0.12195121951219512	7.365853658536586	11810.0	41
2000009	0.5052010628919139	0.0043324683587434975	0.0	0.07547169811320754	34.339622641509436	11798.0	53
2000014	0.5431284197860435	0.041045798048596586	0.1875	0.5056818181818182	322.48295454545456	11498.764204545454	352
2000016	0.7413912573219935	0.040416174263737864	0.07537688442211055	0.3316582914572864	166.51256281407035	11651.854271356784	199
2000021	0.918126855990093	0.027044424747498214	0.10714285714285714	0.32142857142857145	9.785714285714286	11822.035714285714	28
2000024	0.23481559754771703	0.00015209785617396827	0.0	0.0	1.975	11771.0	80
2000025	0.7349794648017658	0.0070394541281904146	0.0	0.034482758620689655	28.96551724137931	11793.0	58
2000030	0.6879609783443723	0.03325450178160749	0.18421052631578946	0.6052631578947368	33.05263157894737	11813.0	38
2000031	0.848397600611084	0.23727692191367258	0.5842696629213483	0.8539325842696629	307.35955056179773	11495.0	356
2000032	0.6743683884762547	0.0011193505880593647	0.0	0.0	1.3333333333333333	11848.0	3
2000036	0.7009927316648245	0.0676464996765473	0.2923076923076923	0.5076923076923077	61.87692307692308	11786.0	65
2000041	0.24295235706238558	0.003921539672373061	0.0	0.125	6.0	11835.0	16
2000045	0.629890360399479	0.0004996338235634354	0.0	0.0	2.857142857142857	11844.0	7
2000047	0.5690239401441839	0.050605534051305634	0.4246575342465753	0.589041095890411	61.013698630136986	11778.0	73
2000048	0.6418419876992373	0.043212624917239637	0.45544554455445546	0.594059405940594	64.0990099009901	11749.722772277228	101
2000049	0.6890702942280239	0.0004529456608255336	0.0	0.0	1.9649122807017543	11794.0	57
2000051	0.5789025006391159	0.10150334175429533	0.6192560175054704	0.8796498905908097	389.34792122538295	11394.0	457
2000058	0.737697010038556	0.0036521499175322237	0.024390243902439025	0.04878048780487805	3.8048780487804876	11810.0	41
2000062	0.6947633681818697	0.024105997977247606	0.05405405405405406	0.2702702702702703	25.2972972972973	11814.0	37
2000067	0.544511935659641	0.004434356781888859	0.0	0.022988505747126436	42.04597701149425	11764.0	87
2000068	0.6585020755333256	0.019231532434490786	0.0	0.45454545454545453	8.363636363636363	11840.0	11
2000069	0.4893090285327728	0.0015877585409324634	0.0	0.0	12.32	11826.0	25
2000073	0.6076825943245973	0.0071947029836475	0.0	0.3181818181818182	35.81818181818182	11806.272727272728	44
2000077	0.5725736514950599	0.005540624335702048	0.019230769230769232	0.019230769230769232	9.307692307692308	11799.0	52
2000080	0.6061835602469617	0.02081497358662224	0.1566265060240964	0.4819277108433735	78.81927710843374	11767.975903614459	83
2000081	0.20626796288585872	0.001353724559051514	0.0	0.0	1.9259259259259258	11824.0	27
2000085	0.5995863223098897	0.059756453799688004	0.41836734693877553	0.8520408163265306	158.1734693877551	11655.0	196
2000090	0.5352073601947479	0.05519350732275453	0.4068965517241379	0.696551724137931	123.9448275862069	11705.641379310346	145
2000094	0.7608172665189521	0.015915217869732007	0.047619047619047616	0.23809523809523808	16.38095238095238	11830.0	21
2000096	0.22356797209092952	7.332536032962907e-05	0.0	0.0	1.3333333333333333	11848.0	3
2000097	0.6123144013320814	0.11050167187338844	0.5075757575757576	0.6893939393939394	96.21212121212122	11718.977272727272	132
2000100	0.6288300899629021	0.06040706128177001	0.4782608695652174	0.7228260869565217	107.20652173913044	11667.0	184
2000102	0.6591473195441114	0.002308437241761063	0.0	0.0	5.0	11845.0	6
2000103	0.8494863853672855	0.003626705857391589	0.0	0.0	6.75	11843.0	8
2000104	0.8461470819967358	0.0016090916256710683	0.0	0.0	3.6	11846.0	5
2000112	0.7743661045341584	0.15566940748766644	0.5757575757575758	0.8787878787878788	56.63636363636363	11785.0	66
2000117	0.6135523244314683	0.09906828523182735	0.4	0.611764705882353	74.68235294117648	11766.0	85
2000118	0.3091506779492351	0.00039381975952784443	0.0	0.0	1.9764705882352942	11766.0	85
2000119	0.68716560888325	0.003670892100537942	0.0	0.0	12.666666666666666	11836.0	15
2000120	0.604375965879624	0.003105661965131837	0.0	0.017241379310344827	17.344827586206897	11793.0	58
