superfamily	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
e.51.1	1.0	1.0	1.0	1.0	3.4	23340.4	5
e.52.1	1.0	1.0	1.0	1.0	2.6666666666666665	23341.5	6
e.57.1	1.0	1.0	1.0	1.0	1.0	23343.0	1
e.58.1	1.0	1.0	1.0	1.0	1.0	23343.0	1
e.59.1	1.0	1.0	1.0	1.0	2.0	23343.0	1
e.6.1	0.999948249685907	0.9866320832043131	1.0	1.0	18.333333333333332	23302.133333333335	45
e.60.1	1.0	1.0	1.0	1.0	2.0	23342.0	2
e.61.1	1.0	1.0	1.0	1.0	3.0	23342.0	1
e.62.1	0.9728933727455769	0.5005133404161303	0.75	0.75	2.25	23342.75	4
e.7.1	0.946114514708148	0.6845147770260509	0.9285714285714286	0.9285714285714286	16.214285714285715	23316.60714285714	28
e.74.1	0.5830191508504349	0.37511019462525363	1.0	1.0	4.0	23341.0	2
e.75.1	0.9355533181954501	0.5002491418692003	1.0	1.0	2.0	23341.0	1
e.76.1	0.8994741013666938	0.5001857735465725	1.0	1.0	2.0	23341.0	2
e.77.1	1.0	1.0	1.0	1.0	3.0	23339.0	1
e.78.1	1.0	1.0	1.0	1.0	3.0	23339.0	2
e.79.1	1.0	1.0	1.0	1.0	3.75	23339.0	4
e.8.1	0.5697204100732601	0.1438892950119472	0.5609756097560976	0.5609756097560976	31.121951219512194	23307.634146341465	41
f.1.1	1.0	1.0	1.0	1.0	2.0	23340.0	2
f.1.2	1.0	1.0	1.0	1.0	2.0	23340.0	1
f.1.3	0.9166666666666666	0.9166916659524013	0.8333333333333334	0.8333333333333334	5.166666666666667	23333.5	6
f.1.4	0.9976709974030675	0.8551162086393475	1.0	1.0	9.38888888888889	23327.0	18
f.1.5	0.995344840352771	0.4754160193760139	1.0	1.0	11.0	23327.0	1
f.10.1	0.7729850070074948	0.505966211423835	0.875	0.875	11.875	23329.75	8
f.13.1	0.9158426601567308	0.5523729744172186	0.9333333333333333	0.9333333333333333	9.866666666666667	23317.4	30
f.14.1	0.9510925935792753	0.44043827701910454	0.8571428571428571	0.8571428571428571	10.714285714285714	23330.785714285714	14
f.15.1	1.0	1.0	1.0	1.0	1.0	23341.0	1
f.16.1	1.0	1.0	1.0	1.0	1.0	23341.0	1
f.17.1	1.0	1.0	1.0	1.0	2.5	23341.0	2
f.17.2	1.0	1.0	1.0	1.0	2.0	23343.0	1
f.17.3	1.0	1.0	1.0	1.0	1.0	23343.0	1
f.17.4	1.0	1.0	1.0	1.0	1.0	23343.0	1
f.17.5	0.9015699965729952	0.000656453018799102	0.0	0.0	1.0	23344.0	2
f.17.6	1.0	0.9999999999999998	1.0	1.0	7.0	23335.0	2
f.18.1	1.0	1.0	1.0	1.0	7.0	23335.0	1
f.19.1	0.994489189729529	0.8005378755032982	0.8	0.8	3.9	23336.4	10
f.20.1	1.0	1.0	1.0	1.0	1.0	23342.0	1
f.21.1	0.9925054879171313	0.05302740155860097	0.25	0.25	2.25	23339.75	4
f.21.2	0.9864122284588028	0.25404642228980384	0.25	0.25	1.0	23339.0	4
f.23.10	0.9930383000599777	0.7501920122887865	0.75	0.75	1.75	23340.5	4
f.23.11	0.9608002741838746	0.5001365374112506	0.5	0.5	1.0	23342.0	2
f.23.12	0.9960586068031875	0.3450345266541503	1.0	1.0	3.0	23342.0	1
f.23.14	0.9995644101685233	0.8411458333333333	1.0	1.0	3.0	23340.0	1
f.23.15	0.9995644101685233	0.8411458333333333	1.0	1.0	3.0	23340.0	2
f.23.16	0.875	0.8750160647731654	0.75	0.75	3.0	23340.0	4
f.23.17	1.0	1.0	1.0	1.0	3.0	23340.0	2
f.23.18	1.0	1.0	1.0	1.0	3.0	23340.0	3
f.23.28	1.0	1.0	1.0	1.0	1.0	23344.0	1
f.23.30	1.0	1.0	1.0	1.0	1.0	23344.0	1
f.23.31	1.0	1.0	1.0	1.0	1.0	23343.0	1
f.23.32	1.0	1.0	1.0	1.0	1.5	23343.0	2
f.23.8	1.0	1.0	1.0	1.0	4.0	23340.0	2
f.23.9	1.0	1.0	1.0	1.0	2.0	23340.0	1
f.24.1	1.0	1.0	1.0	1.0	1.0	23342.0	3
f.25.1	1.0	1.0	1.0	1.0	3.0	23342.0	1
f.28.1	1.0	1.0	1.0	1.0	1.0	23344.0	1
