index	auroc	auprc	hit1	hit10	n_true_pos	n_true_neg
count	11884.0	11884.0	11884.0	11884.0	11884.0	11884.0
mean	0.7196383952339795	0.09151126247637947	0.25429148434870413	0.39860316391787276	225.1932009424436	22763.815382026252
std	0.20319468678159833	0.14623447787629665	0.43548051988894376	0.4896313458904412	292.07132699577073	319.53400400358663
min	0.0022285339742189603	2.1896211955331726e-05	0.0	0.0	1.0	22012.0
25%	0.6176931187955185	0.0024576052642604675	0.0	0.0	16.0	22717.0
50%	0.7607331892726551	0.02136963792923669	0.0	0.0	87.0	22922.0
75%	0.8668328940284862	0.11698330441773998	1.0	1.0	316.0	22988.0
max	1.0	1.0	1.0	1.0	1045.0	23056.0
