index	auroc	auprc	hit1	hit10	n_true_pos	n_true_neg
count	5378.0	5378.0	5378.0	5378.0	5378.0	5378.0
mean	0.7386196963390137	0.10115602921143528	0.2631089624395686	0.4600223131275567	89.63443659352919	9730.029750836742
std	0.18037612155440333	0.15915002709941492	0.4403620034640255	0.498445565381226	105.16341446672038	114.47387653901258
min	0.006085088975250563	5.1440329218106995e-05	0.0	0.0	1.0	9438.0
25%	0.6416536228861573	0.003945220040154844	0.0	0.0	11.0	9691.0
50%	0.7654876540634103	0.02619451711545403	0.0	0.0	48.0	9777.0
75%	0.8690769815307409	0.12254940559913621	1.0	1.0	127.0	9812.0
max	1.0	1.0	1.0	1.0	404.0	9841.0
