index	auroc	auprc	hit1	hit10	n_true_pos	n_true_neg
count	14162.0	14162.0	14162.0	14162.0	14162.0	14162.0
mean	0.6958893914619151	0.0400581243879638	0.1017511650896766	0.2655698347691004	262.319587628866	27214.945770371418
std	0.17149777872404326	0.08752808621984139	0.302331473201655	0.44165175290585473	340.76936981300634	370.5766808114737
min	0.08849838516529376	2.1288372291054627e-05	0.0	0.0	1.0	26337.0
25%	0.58664144258968	0.0020243236249486724	0.0	0.0	17.0	27163.0
50%	0.713209745163272	0.010729465657650662	0.0	0.0	101.0	27381.0
75%	0.8278561319805817	0.03809798908144761	0.0	1.0	375.0	27483.0
max	0.999963578088578	0.8147086749564055	1.0	1.0	1225.0	27561.0
