index	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
count	688.0	688.0	688.0	688.0	688.0	688.0	688.0
mean	0.8982901267118881	0.26138590190553723	0.37716418367677135	0.5421252724921803	7.722535155979982	11838.844476744185	12.155523255813954
std	0.1479097154294414	0.29652624199906263	0.36699408711906395	0.3988720237856747	13.199095887007626	16.968090568546558	16.968090568546558
min	0.04061524179255635	4.3978318238475236e-05	0.0	0.0	1.0	11735.0	2.0
25%	0.8708102322066725	0.010425758206651627	0.0	0.0	1.5	11838.0	3.0
50%	0.9571553581590639	0.15374228396072112	0.3416666666666667	0.6666666666666666	3.0	11845.0	6.0
75%	0.9953020233338035	0.4186070195858517	0.7035714285714285	0.9258928571428572	7.555555555555555	11848.0	13.0
max	1.0	1.0	1.0	1.0	101.23076923076923	11849.0	116.0
