index	auroc	auprc	hit1	hit10	n_true_pos	n_true_neg
count	11080.0	11080.0	11080.0	11080.0	11080.0	11080.0
mean	0.7531789233741608	0.11781118516417936	0.3798736462093863	0.5697653429602888	32.34079422382671	15430.540252707582
std	0.17458591554426298	0.1979265853961727	0.4853770924173804	0.49513121777685803	37.48910382481988	44.918288931157775
min	0.004651463272821288	3.245067497403946e-05	0.0	0.0	1.0	15308.0
25%	0.6466607257680681	0.0036279377477988818	0.0	0.0	6.0	15403.0
50%	0.7699763977404761	0.02652792053944527	0.0	1.0	17.0	15445.0
75%	0.8881075486610718	0.14390262649643643	1.0	1.0	43.0	15467.0
max	1.0	1.0000000000000002	1.0	1.0	172.0	15479.0
