superfamily	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
d.284.1	0.9814446653412856	0.5008896797153025	0.5	0.5	1.0	7545.0	2
d.287.1	0.6428839696005656	0.003987948422836094	0.0	0.0	1.3333333333333333	7544.0	3
d.290.1	0.8303931317952797	0.007932863922827159	0.0	0.0	1.6	7542.0	5
d.294.1	0.999867461895295	0.5833333333333334	0.5	1.0	1.0	7545.0	2
d.296.1	0.4717362491716368	0.00013125495003623005	0.0	0.0	1.0	7545.0	2
d.298.1	1.0	1.0	1.0	1.0	1.3333333333333333	7544.0	3
d.3.1	0.5	0.501881935715257	0.0	0.0	28.4	7517.0	30
d.300.1	0.6579191517561299	0.00027329916379451204	0.0	0.0	1.0	7545.0	2
d.303.1	1.0	1.0	1.0	1.0	1.5	7543.0	4
d.304.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
d.306.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
d.308.1	0.688626723223754	0.3337896000185267	0.6666666666666666	0.6666666666666666	2.0	7544.0	3
d.32.1	0.5	0.5014633403484289	0.0	0.0	22.074074074074073	7520.0	27
d.322.1	0.7057985420808482	0.0006899301251686012	0.0	0.0	1.0	7545.0	2
d.323.1	0.8213055003313452	0.5000926268988515	0.5	0.5	1.0	7545.0	2
d.325.1	0.8459482149169318	0.0018061462541252243	0.0	0.0	1.3333333333333333	7544.0	3
d.33.1	0.5	0.500066260270342	0.0	0.0	1.0	7545.0	2
d.344.1	0.5071543799169097	0.10076142238547112	0.4	0.4	3.6	7542.0	5
d.357.1	0.9569913850231941	0.0016944299843831337	0.0	0.0	1.0	7545.0	2
d.361.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
d.37.1	0.5	0.5002983689638106	0.0	0.0	4.5	7535.0	12
d.38.1	0.5	0.5021390435320345	0.0	0.0	32.26315789473684	7509.0	38
d.391.1	0.9999911606116857	0.9805555555555555	1.0	1.0	2.4	7542.0	5
d.4.1	0.5	0.5005006604755052	0.0	0.0	7.555555555555555	7538.0	9
d.41.2	0.5	0.5002272533600871	0.0	0.0	3.4285714285714284	7540.0	7
d.41.3	0.5	0.500066260270342	0.0	0.0	1.0	7545.0	2
d.41.4	0.5	0.500066260270342	0.0	0.0	1.0	7545.0	2
d.42.1	0.5	0.5002429923834587	0.0	0.0	3.6666666666666665	7541.0	6
d.45.1	0.5	0.500066260270342	0.0	0.0	1.0	7545.0	2
d.49.1	0.5	0.5000883528817962	0.0	0.0	1.3333333333333333	7544.0	3
d.5.1	0.5	0.5000883528817962	0.0	0.0	1.3333333333333333	7544.0	3
d.50.1	0.5	0.5002209495875928	0.0	0.0	3.3333333333333335	7538.0	9
d.50.3	0.5	0.5001325205406838	0.0	0.0	2.0	7544.0	3
d.51.1	0.5	0.5001205451478845	0.0	0.0	1.8181818181818181	7536.0	11
d.52.8	0.5	0.500066260270342	0.0	0.0	1.0	7545.0	2
d.54.1	0.5	0.5002946267460375	0.0	0.0	4.444444444444445	7538.0	9
d.58.1	0.5	0.5006010281633622	0.0	0.0	9.066666666666666	7532.0	15
d.58.10	0.5	0.5002385475116436	0.0	0.0	3.6	7542.0	5
d.58.11	0.5	0.5002871512568433	0.0	0.0	4.333333333333333	7541.0	6
d.58.16	0.5	0.5000883528817962	0.0	0.0	1.3333333333333333	7544.0	3
d.58.17	0.5	0.5001104630689162	0.0	0.0	1.6666666666666667	7541.0	6
d.58.18	0.5	0.501150930565421	0.0	0.0	17.36842105263158	7528.0	19
d.58.26	0.5	0.5003786426619689	0.0	0.0	5.714285714285714	7540.0	7
d.58.29	0.5	0.5000883528817962	0.0	0.0	1.3333333333333333	7544.0	3
d.58.3	0.5	0.5002429923834587	0.0	0.0	3.6666666666666665	7541.0	6
d.58.31	0.5	0.5000883528817962	0.0	0.0	1.3333333333333333	7544.0	3
d.58.32	0.5	0.5003313013517096	0.0	0.0	5.0	7541.0	6
d.58.36	0.5	0.5002650988036985	0.0	0.0	4.0	7540.0	7
d.58.4	0.5	0.5019562231109217	0.0	0.0	29.515151515151516	7514.0	33
d.58.48	0.5	0.5000883528817962	0.0	0.0	1.3333333333333333	7544.0	3
d.58.5	0.5	0.5003313013517096	0.0	0.0	5.0	7541.0	6
d.58.53	0.5	0.5007136748434589	0.0	0.0	10.76923076923077	7534.0	13
d.58.54	0.5	0.500066260270342	0.0	0.0	1.0	7545.0	2
d.58.58	0.5	0.5000883528817962	0.0	0.0	1.3333333333333333	7544.0	3
d.58.7	0.5	0.5012150520858477	0.0	0.0	18.3	7507.0	40
d.58.9	0.5	0.5000883528817962	0.0	0.0	1.3333333333333333	7544.0	3
d.60.1	0.5	0.5001987808110258	0.0	0.0	3.0	7543.0	4
d.61.1	0.5	0.5001987808110258	0.0	0.0	3.0	7543.0	4
d.63.1	0.5	0.500106037514961	0.0	0.0	1.6	7542.0	5
d.65.1	0.5	0.5002650410813676	0.0	0.0	4.0	7542.0	5
d.66.1	0.5	0.5002650410813676	0.0	0.0	4.0	7542.0	5
d.67.1	0.5	0.5000883528817962	0.0	0.0	1.3333333333333333	7544.0	3
d.68.2	0.5	0.500066260270342	0.0	0.0	1.0	7545.0	2
d.68.6	0.5	0.500066260270342	0.0	0.0	1.0	7545.0	2
d.7.1	0.5	0.5000883528817962	0.0	0.0	1.3333333333333333	7544.0	3
d.74.3	1.0	1.0	1.0	1.0	1.0	7545.0	2
d.74.4	0.9801166489925769	0.028307410728610632	0.0	0.0	1.3333333333333333	7544.0	3
d.77.1	0.8166014848203633	0.4226556402386151	0.75	0.75	2.5	7543.0	4
d.79.1	0.8122574371215134	0.21052591476719837	0.6666666666666666	0.6666666666666666	4.0	7541.0	6
d.79.2	0.9860834990059641	0.02623762376237624	0.0	0.5	1.0	7545.0	2
d.79.3	0.9133061486098218	0.14057772956209386	0.3333333333333333	0.6666666666666666	4.333333333333333	7541.0	6
d.79.4	0.9728329354025733	0.6565238227457431	0.625	0.75	1.75	7539.0	8
d.80.1	0.9987532570932253	0.9560426496551228	1.0	1.0	7.090909090909091	7536.0	11
d.81.1	0.5340209218457607	0.006460014204966534	0.047619047619047616	0.14285714285714285	15.619047619047619	7526.0	21
d.81.2	0.9986083499005964	0.0756578947368421	0.0	0.5	1.0	7545.0	2
d.82.2	0.7031636620714034	0.3341179051757744	0.6666666666666666	0.6666666666666666	2.0	7544.0	3
d.86.1	0.9911862160371105	0.08522727272727272	0.0	0.5	1.0	7545.0	2
d.87.2	1.0	1.0	1.0	1.0	1.3333333333333333	7544.0	3
d.89.1	0.6078460620525059	0.017553447702315768	0.0	0.2	3.6	7542.0	5
d.90.1	1.0	1.0	1.0	1.0	3.142857142857143	7540.0	7
d.92.1	0.8780254591743953	0.539298795277418	0.8518518518518519	0.8888888888888888	24.14814814814815	7520.0	27
d.92.2	0.9999204455051711	0.9196428571428571	1.0	1.0	2.8	7542.0	5
d.93.1	0.9643709738537325	0.28828999394404053	0.2857142857142857	0.42857142857142855	1.7142857142857142	7540.0	7
d.95.2	0.964621202069789	0.5146302011107325	0.8	0.8	4.8	7537.0	10
d.96.1	0.7721902235695339	0.04180455359533194	0.14285714285714285	0.2857142857142857	4.857142857142857	7540.0	7
d.96.2	1.0	1.0	1.0	1.0	1.0	7545.0	2
e.11.1	1.0	1.0	1.0	1.0	1.3333333333333333	7544.0	3
e.13.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
e.17.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
e.18.1	1.0	1.0	1.0	1.0	1.3333333333333333	7544.0	3
e.19.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
e.22.1	1.0	1.0	1.0	1.0	1.3333333333333333	7544.0	3
e.23.1	1.0	1.0	1.0	1.0	2.4	7542.0	5
e.26.1	0.9834526334393779	0.5024173680327658	0.6666666666666666	0.6666666666666666	2.0	7544.0	3
e.28.1	0.3666335321404904	0.00011168023693073793	0.0	0.0	1.0	7545.0	2
e.29.1	0.6036661363033679	0.0010585955347073163	0.0	0.0	2.4	7542.0	5
e.3.1	0.879964352924146	0.5883837158125147	0.9090909090909091	0.9090909090909091	6.7272727272727275	7536.0	11
e.37.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
e.43.1	0.9999337309476475	0.625	0.5	1.0	1.0	7545.0	2
e.5.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
e.52.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
e.6.1	1.0	1.0	1.0	1.0	3.6666666666666665	7541.0	6
e.62.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
e.63.1	0.9673293571901922	0.0020385806536636795	0.0	0.0	1.0	7545.0	2
e.7.1	0.9736374486142422	0.3754204572109585	0.3333333333333333	0.6666666666666666	1.6666666666666667	7541.0	6
e.76.1	0.4535453943008615	0.00012571877614950543	0.0	0.0	1.0	7545.0	2
e.8.1	0.4910423627332384	0.023281657192908162	0.15	0.2	16.6	7527.0	20
f.1.4	0.9999955797197542	0.9938888888888888	1.0	1.0	1.6666666666666667	7541.0	6
f.10.1	0.43870112657388993	0.00012741946638681993	0.0	0.0	1.0	7545.0	2
f.13.1	0.7410402580759203	0.45915788887530573	0.5	0.5	1.5	7543.0	4
f.14.1	0.8786251105216623	0.3722125213048799	0.8571428571428571	1.0	4.285714285714286	7540.0	7
f.17.1	1.0	1.0	1.0	1.0	1.3333333333333333	7544.0	3
f.17.6	0.9162027833001988	0.002336035372144436	0.0	0.0	1.0	7545.0	2
f.21.1	0.9601722995361166	0.03167016806722689	0.0	0.5	1.0	7545.0	2
f.21.2	0.9894554214737213	0.47401513671319356	0.5	0.5	1.6666666666666667	7541.0	6
f.23.10	1.0	1.0	1.0	1.0	1.3333333333333333	7544.0	3
f.23.12	0.9922941800344691	0.5089259235286372	1.0	1.0	2.0	7543.0	4
f.3.1	0.9949125016571656	0.3804998761388444	0.5	0.75	1.5	7543.0	4
f.32.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
f.38.1	1.0	1.0	1.0	1.0	3.6	7542.0	5
f.4.1	0.5979771692525306	0.1510954537808504	0.6666666666666666	0.6666666666666666	4.666666666666667	7541.0	6
f.4.3	0.9226695524302331	0.2694805183696186	0.4	0.6	7.4	7537.0	10
f.4.4	0.9990722332670643	0.14285714285714285	0.0	0.5	1.0	7545.0	2
f.41.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
f.5.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
f.54.1	0.9299443266171791	0.19104481337213922	0.3333333333333333	0.3333333333333333	1.3333333333333333	7544.0	3
f.56.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
f.6.1	0.7268058316766071	0.00024502677597497614	0.0	0.0	1.0	7545.0	2
f.66.1	0.4108349900596422	0.00017641050053058025	0.0	0.0	1.0	7545.0	2
f.69.1	0.9888667992047714	0.5014705882352941	0.5	0.5	1.0	7545.0	2
f.72.1	0.9547432838458819	0.029360216314793408	0.0	0.3333333333333333	1.3333333333333333	7544.0	3
f.8.1	0.8890729939908094	0.39618969472832233	0.6666666666666666	1.0	2.0	7544.0	3
g.10.1	0.9739638564863909	0.5795779662466282	0.6666666666666666	1.0	2.0	7544.0	3
g.14.1	0.9977793981174599	0.6805489424619086	0.75	0.75	2.0	7543.0	4
g.17.1	0.8005075884893783	0.11306045658927114	0.4	0.5	8.4	7537.0	10
g.18.1	0.9875180159678367	0.8628860405522272	0.9285714285714286	0.9285714285714286	5.714285714285714	7533.0	14
g.19.1	0.9374668610816542	0.004677777449165805	0.0	0.0	1.3333333333333333	7544.0	3
g.22.1	1.0	1.0	1.0	1.0	1.3333333333333333	7544.0	3
g.24.1	0.8875194839679704	0.2830930499788043	0.6666666666666666	0.7333333333333333	9.066666666666666	7532.0	15
g.27.1	0.99456046141607	0.6088079850970372	0.6	0.8	1.6	7542.0	5
g.3.10	0.8682636219011003	0.252969316922209	0.5	0.5	2.0	7543.0	4
g.3.11	0.8306422825665034	0.2878410403309794	0.6923076923076923	0.8461538461538461	19.23076923076923	7521.0	26
g.3.14	1.0	1.0	1.0	1.0	1.0	7545.0	2
g.3.15	0.9080990895430036	0.013411956389777432	0.0	0.0	2.4	7542.0	5
g.3.3	1.0	1.0	1.0	1.0	2.5	7543.0	4
g.3.4	0.7392298515376458	0.0004640229280287001	0.0	0.0	1.3333333333333333	7544.0	3
g.3.6	0.9325091045857757	0.20090379872607747	0.4827586206896552	0.7241379310344828	16.137931034482758	7518.0	29
g.3.7	0.9062495327171541	0.35931666679828184	0.6538461538461539	0.7692307692307693	17.307692307692307	7521.0	26
g.3.9	0.9510288202272025	0.5945170168378431	0.8333333333333334	0.8333333333333334	2.6666666666666665	7541.0	6
g.31.1	0.9996023856858847	0.5357142857142857	0.5	1.0	1.0	7545.0	2
g.32.1	0.7719711028632025	0.0005759925270807175	0.0	0.0	1.3333333333333333	7544.0	3
g.37.1	0.9584108221859141	0.5307964724655065	0.8596491228070176	0.9824561403508771	27.82456140350877	7490.0	57
