index	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
count	689.0	689.0	689.0	689.0	689.0	689.0	689.0
mean	0.838659055919124	0.2587775602642411	0.4186275561656116	0.5344898939473482	16.077477629654908	27534.368650217708	28.631349782293178
std	0.1983190462025144	0.3037526800478438	0.3857448005649583	0.40164980457242505	31.406078847684864	45.88310417049819	45.8831041704982
min	0.06040457184325108	2.544610973589477e-05	0.0	0.0	1.0	27164.0	2.0
25%	0.7725918293283562	0.007846931357321354	0.0	0.019230769230769232	1.9873417721518987	27532.0	5.0
50%	0.9105764164077746	0.13113768744233312	0.375	0.6666666666666666	5.066666666666666	27552.0	11.0
75%	0.9865717223028545	0.4239445432544287	0.7956989247311828	0.927536231884058	14.846153846153847	27558.0	31.0
max	1.0	1.0	1.0	1.0	309.31328320802004	27561.0	399.0
