index	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
count	1225.0	1225.0	1225.0	1225.0	1225.0	1225.0	1225.0
mean	0.855063168999307	0.12411534845544492	0.19088207058836354	0.29733036391249074	9.371847253390122	14264.564283820519	10.142857142857142
std	0.1321685899098586	0.23801938103190798	0.3180235377252267	0.36972309442879747	18.92077973378336	25.12395818799127	23.507195394051536
min	0.23695652173913043	4.688232536333802e-05	0.0	0.0	1.0	13946.984984984985	1.0
25%	0.7851272418383075	0.0016017673014807427	0.0	0.0	1.5	14263.933333333332	1.0
50%	0.8850813958456684	0.01051678620073666	0.0	0.0	3.2857142857142856	14273.0	3.0
75%	0.9614505956552207	0.11192359213211389	0.26666666666666666	0.5714285714285714	9.0	14276.0	8.0
max	1.0	1.0	1.0	1.0	279.79879879879877	14277.0	333.0
