index	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
count	689.0	689.0	689.0	689.0	689.0	689.0	689.0
mean	0.7198359349803968	0.04270917409365615	0.08428157609918628	0.19918170835460047	13.819416867531627	23033.966618287373	24.033381712626994
std	0.21725363439283998	0.11953548731142254	0.17194009075721867	0.2725043462684129	26.25199119145875	37.370439603175754	37.370439603175754
min	0.03309333795975017	2.242673115715825e-05	0.0	0.0	1.0	22707.0	2.0
25%	0.5930041843185216	0.0006589238872306521	0.0	0.0	1.8333333333333333	23032.0	5.0
50%	0.7300446480223467	0.005510237564744763	0.0	0.05	4.444444444444445	23047.0	11.0
75%	0.9178176376176637	0.02374833790111453	0.08333333333333333	0.3333333333333333	13.36	23053.0	26.0
max	1.0	1.0	1.0	1.0	274.65527065527067	23056.0	351.0
