index	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
count	646.0	646.0	646.0	646.0	646.0	646.0	646.0
mean	0.7553095820194105	0.06782451427706605	0.1059953108824532	0.2439622989652907	6.163353631994455	7538.07120743034	8.928792569659443
std	0.19427591835992053	0.15540336517752804	0.20266285087356808	0.3010937105508165	12.159216510018151	14.075693737744027	14.075693737744027
min	0.04376546482856134	7.289788951802185e-05	0.0	0.0	1.0	7386.0	2.0
25%	0.6279771230418048	0.001290427663369616	0.0	0.0	1.3333333333333333	7538.0	3.0
50%	0.7543965096884442	0.008051041310997022	0.0	0.075	2.0	7542.0	5.0
75%	0.9345942340390319	0.05012799809123305	0.14285714285714285	0.5	5.770833333333333	7544.0	9.0
max	1.0	1.0	1.0	1.0	151.14465408805032	7545.0	161.0
