SF	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
3001132	0.6199298380031656	0.01249085512184979	0.125	0.25	9.625	15464.0	16
3001138	0.6797626382753987	0.08735702659775618	0.5263157894736842	0.6842105263157895	11.052631578947368	15461.0	19
3001147	0.9336128163704901	0.0028942588211834795	0.0	0.0	3.6	15475.0	5
3001155	0.985510474467044	0.09975850715593655	0.2857142857142857	0.42857142857142855	4.285714285714286	15473.0	7
3001156	0.7510300333183809	0.0498581230199204	0.1574074074074074	0.37037037037037035	17.055555555555557	15372.0	108
3001160	0.8747105733609029	0.2900522945277456	0.5	0.75	2.5	15476.0	4
3001161	0.6788513515131057	0.0005677217285998136	0.0	0.0	4.0	15471.0	9
3001164	0.9855366112639192	0.1254320901011501	0.16666666666666666	0.25	1.8333333333333333	15468.0	12
3001165	0.8447492129210334	0.13534841950614834	0.5454545454545454	0.7727272727272727	14.818181818181818	15458.0	22
3001168	0.8917226745939426	0.20758121798920615	0.5	0.6666666666666666	3.0	15474.0	6
3001174	0.8364984583577021	0.2992661390711385	0.7	0.7	7.0	15470.0	10
3001179	0.8412275700684967	0.04065854534225181	0.10714285714285714	0.4642857142857143	12.785714285714286	15452.0	28
3001193	0.9946558966074314	0.02260492792212935	0.0	0.4	1.6	15475.0	5
3001201	0.852868790659601	0.0007391297545330746	0.0	0.0	2.6666666666666665	15474.0	6
3001205	0.9832280628069269	0.0232546245386701	0.0	0.25	2.0	15476.0	4
3001208	0.646971473533367	0.014297079100780286	0.045454545454545456	0.2727272727272727	12.636363636363637	15458.0	22
3001211	1.0	1.0	1.0	1.0	1.0	15478.0	2
3001214	0.8634685601654387	0.013238904312415993	0.0	0.16666666666666666	4.0	15474.0	6
3001217	0.9102461873830116	0.1460237335622843	0.7272727272727273	0.8787878787878788	27.272727272727273	15447.0	33
3001230	0.4379143780290792	0.0002406361386296556	0.0	0.0	2.8	15475.0	5
3001235	0.648201468951444	0.14549549560682098	0.5555555555555556	0.8	30.488888888888887	15435.0	45
