index	auroc	auprc	hit1	hit10	n_true_pos	n_true_neg
count	6986.0	6986.0	6986.0	6986.0	6986.0	6986.0
mean	0.8136064055473655	0.27123952145513214	0.5561122244488977	0.7087031205267679	21.099627827082738	10043.284282851417
std	0.189377747898645	0.30072540267511433	0.49687700538942	0.454392520485486	23.928360805283422	27.754134296443787
min	0.007582720588235295	5.0055060566623285e-05	0.0	0.0	1.0	9967.0
25%	0.7161405345521019	0.01124850935583804	0.0	0.0	3.0	10032.0
50%	0.8622503618560494	0.15182602365066172	1.0	1.0	11.0	10054.0
75%	0.9699055610278909	0.4737349480365275	1.0	1.0	28.0	10065.0
max	1.0	1.0	1.0	1.0	105.0	10071.0
