index	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
count	617.0	617.0	617.0	617.0	617.0	617.0	617.0
mean	0.7249828683330566	0.10070138925536151	0.17666899083620524	0.295889455364984	5.667268960059722	6775.795786061588	8.20421393841167
std	0.22144549560629156	0.2011487227555359	0.27230212442346136	0.33353449250201006	10.76924645445821	12.462037747146288	12.462037747146288
min	0.0864420524918903	8.06717569511633e-05	0.0	0.0	1.0	6644.0	2.0
25%	0.582476398918306	0.0012596794854084436	0.0	0.0	1.3333333333333333	6776.0	3.0
50%	0.7434947957475053	0.014094916714603362	0.0	0.2	2.0	6780.0	4.0
75%	0.9278252071080757	0.09358993150197312	0.2978723404255319	0.5714285714285714	5.142857142857143	6781.0	8.0
max	1.0	1.0	1.0	1.0	133.8	6782.0	140.0
