index	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
count	181.0	181.0	181.0	181.0	181.0	181.0	181.0
mean	0.7364869721783209	0.017488671606560844	0.03882928991703641	0.11831667774009026	28.849208477940994	15434.974213520929	44.773480662983424
std	0.14050548715428418	0.05114354242273671	0.10438381954786628	0.20346740413569123	67.11688252471572	79.08746075378197	79.12920912824875
min	0.14965217204023173	5.2983494359782546e-05	0.0	0.0	1.0	14913.0	2.0
25%	0.6580385763485587	0.0005468621625007192	0.0	0.0	2.5	15426.0	7.0
50%	0.7449709632447304	0.002750361634036925	0.0	0.0	7.111111111111111	15461.0	19.0
75%	0.8461909224074793	0.009836622147645848	0.0	0.12698412698412698	26.0	15473.0	54.0
max	0.9979760627572721	0.4291205329913523	0.6987951807228916	0.9156626506024096	482.8479427549195	15478.0	567.0
