index	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
count	139.0	139.0	139.0	139.0	139.0	139.0	139.0
mean	0.7064021157640448	0.025370530468701837	0.04593601707801767	0.13154637129580704	18.11338522301914	7519.287769784172	27.712230215827336
std	0.14979487033014935	0.07660161110021563	0.12250448204490681	0.21932605708025124	36.055767126930945	45.17345709760893	45.17345709760893
min	0.1921139827700464	8.526097437533646e-05	0.0	0.0	1.0	7280.0	2.0
25%	0.6421493648662326	0.0010349439455121137	0.0	0.0	1.9490384615384615	7519.5	5.0
50%	0.7067151487460656	0.0037571836823387726	0.0	0.0	6.0	7534.0	13.0
75%	0.8071642482291657	0.013535035502597471	0.009174311926605505	0.17424242424242425	15.30622009569378	7542.0	27.5
max	0.9964810157037466	0.5709607787502432	0.7169811320754716	0.8867924528301887	229.0448979591837	7545.0	267.0
