index	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
count	259.0	259.0	259.0	259.0	259.0	259.0	259.0
mean	0.7923249888953544	0.04411900702771866	0.11216385792963118	0.23642704642714762	70.25885646750076	33608.898335625025	71.53667953667954
std	0.1484128161922522	0.10894574090580719	0.2399758352893266	0.3287150935258658	174.55434148441546	530.6541187199545	321.1976763502621
min	0.20676634800242288	2.1498903555918647e-05	0.0	0.0	1.0	28998.0	1.0
25%	0.7097645563244084	0.0009257295274481482	0.0	0.0	4.0	33657.0	3.0
50%	0.817074425188038	0.005727965561959538	0.0	0.034482758620689655	12.21311475409836	33719.0	3.0
75%	0.8918557865317261	0.03060387602259214	0.06764054278593187	0.35749385749385754	43.82666666666667	33752.54411764706	52.5
max	0.9999838009046597	0.9913578113372127	1.0	1.0	1220.0	33766.0	4770.0
