index	auroc	auprc	hit1	hit10	n_true_pos	n_true_neg
count	18528.0	18528.0	18528.0	18528.0	18528.0	18528.0
mean	0.7667505639786674	0.0928270076447422	0.25161917098445596	0.5216968911917098	501.58743523316065	32257.231433506044
std	0.14016909833562266	0.13109455334121964	0.4339552139317135	0.49954250402073724	860.9385801901133	1945.4348090588912
min	0.05329733782630803	2.017919121801598e-05	0.0	0.0	1.0	28998.0
25%	0.6835197109364779	0.00513005403391232	0.0	0.0	38.0	28998.0
50%	0.7864449473880646	0.03755374652719409	0.0	1.0	248.0	33345.0
75%	0.8778671195590527	0.14376662599323078	1.0	1.0	651.0	33625.0
max	1.0	1.0	1.0	1.0	4769.0	33766.0
