index	auroc	auprc	hit1	hit10	n_true_pos	n_true_neg
count	12425.0	12425.0	12425.0	12425.0	12425.0	12425.0
mean	0.8447836017574188	0.5880590542814628	0.7686116700201208	0.7967002012072435	45.30527162977867	14213.675653923541
std	0.18607561071927636	0.3493600154043049	0.4217369862663038	0.40246990867202664	62.212046970092295	75.7493042207764
min	0.003362286354721189	3.502136303144918e-05	0.0	0.0	1.0	13946.0
25%	0.7352173151069051	0.29931123670918275	1.0	1.0	7.0	14187.0
50%	0.9325004530627039	0.5895655147118579	1.0	1.0	21.0	14242.0
75%	0.9979120414992582	0.9474370098364614	1.0	1.0	55.0	14265.0
max	1.0	1.0000000000000002	1.0	1.0	332.0	14277.0
