index	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
count	181.0	181.0	181.0	181.0	181.0	181.0	181.0
mean	0.7092525669537311	0.019537886804201078	0.03803171282190696	0.12302640472062716	20.5146823731985	10042.620943562648	30.209944751381215
std	0.14965245194321242	0.0585640602018991	0.10201092898718514	0.21100821295864708	43.61704637256794	50.78188386493169	50.80759031764663
min	0.10989738497186359	7.677955377843525e-05	0.0	0.0	1.0	9662.0	2.0
25%	0.6212062929726392	0.0006669318277470896	0.0	0.0	1.9696969696969697	10038.0	5.0
50%	0.7284591194968554	0.0028238670963084056	0.0	0.0	5.428571428571429	10059.0	13.0
75%	0.8220270465488203	0.011502448134874565	0.01282051282051282	0.13636363636363635	18.19047619047619	10068.0	35.0
max	0.9972724550135086	0.5388157352838878	0.78125	0.9375	350.18978102189783	10071.0	411.0
