index	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
count	235.0	235.0	235.0	235.0	235.0	235.0	235.0
mean	0.6082460572407805	0.0808541970600478	0.05649835196477424	0.06955462862885692	33.75364039738651	14224.41601203705	30.370212765957447
std	0.18736865845517556	0.16996143427952806	0.19061933871352973	0.2076110143255124	77.6430455931693	97.06948293807154	73.96207134618246
min	0.006619037612943912	3.525098702763678e-05	0.0	0.0	1.0	13685.0	1.0
25%	0.5	0.0007030574213407949	0.0	0.0	3.0	14226.0	1.0
50%	0.5972877509708681	0.002980007530068	0.0	0.0	9.0	14255.0	4.0
75%	0.7322223403831234	0.031685227023550394	0.0	0.0	25.0	14270.0	29.5
max	0.9779377319199305	0.7436169238826285	1.0	1.0	516.0	14277.0	594.0
