CF	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
2000000	0.6748987630143153	0.028162298948219325	0.20212765957446807	0.5425531914893617	77.51063829787235	11756.627659574468	94
2000001	0.4785688161152375	0.00011670596822697	0.0	0.0	1.3333333333333333	11848.0	3
2000002	0.5819353245931325	0.0006958349043419591	0.0	0.0	7.238095238095238	11809.0	42
2000003	0.5514171414860234	0.0049606933353807375	0.0	0.07317073170731707	7.365853658536586	11810.0	41
2000009	0.5819062266182832	0.005722996795527163	0.0	0.03773584905660377	34.339622641509436	11798.0	53
2000014	0.555464787038432	0.033900261687374394	0.07102272727272728	0.3352272727272727	322.48295454545456	11498.764204545454	352
2000016	0.6340502971700853	0.03163419080735424	0.06532663316582915	0.35678391959798994	166.51256281407035	11651.854271356784	199
2000021	0.558424758640031	0.002726301384838713	0.0	0.03571428571428571	9.785714285714286	11822.035714285714	28
2000024	0.6750801019239516	0.0005296233767708106	0.0	0.0	1.975	11771.0	80
2000025	0.5930945805428258	0.006866367787228189	0.034482758620689655	0.1724137931034483	28.96551724137931	11793.0	58
2000030	0.6554259079249816	0.017130503987371534	0.13157894736842105	0.39473684210526316	33.05263157894737	11813.0	38
2000031	0.6490937673018972	0.06403057365000414	0.2556179775280899	0.7584269662921348	307.35955056179773	11495.0	356
2000032	0.4180804073823993	0.000104748071918516	0.0	0.0	1.3333333333333333	11848.0	3
2000036	0.6788483656017971	0.027228122274271835	0.15384615384615385	0.49230769230769234	61.87692307692308	11786.0	65
2000041	0.3355737748204478	0.0021779978478094287	0.0	0.125	6.0	11835.0	16
2000045	0.7481835287306412	0.0007556654663133279	0.0	0.0	2.857142857142857	11844.0	7
2000047	0.5804703422569885	0.014616138737185327	0.1643835616438356	0.3835616438356164	61.013698630136986	11778.0	73
2000048	0.5966595517869626	0.010936685181207597	0.0297029702970297	0.2079207920792079	64.0990099009901	11749.722772277228	101
2000049	0.7686725053051486	0.0003383177849746882	0.0	0.0	1.9649122807017543	11794.0	57
2000051	0.6801000835285302	0.12544552007684612	0.5317286652078774	0.8774617067833698	389.34792122538295	11394.0	457
2000058	0.7857539163713138	0.0017250784666646573	0.0	0.0	3.8048780487804876	11810.0	41
2000062	0.5729879432270165	0.0061786982431499965	0.02702702702702703	0.16216216216216217	25.2972972972973	11814.0	37
2000067	0.5061994688552169	0.005094817976396108	0.011494252873563218	0.09195402298850575	42.04597701149425	11764.0	87
2000068	0.57086588008463	0.0016718155303802947	0.0	0.0	8.363636363636363	11840.0	11
2000069	0.43830086030999277	0.0013048089216347442	0.0	0.0	12.32	11826.0	25
2000073	0.6200022207073188	0.008435170107267898	0.022727272727272728	0.1590909090909091	35.81818181818182	11806.272727272728	44
2000077	0.6971233145021196	0.003816998761716054	0.0	0.0	9.307692307692308	11799.0	52
2000080	0.6110289460368037	0.020917994595945705	0.20481927710843373	0.4819277108433735	78.81927710843374	11767.975903614459	83
2000081	0.5389654269263539	0.0003212473448020712	0.0	0.0	1.9259259259259258	11824.0	27
2000085	0.582630417248584	0.04846194049422866	0.3010204081632653	0.6377551020408163	158.1734693877551	11655.0	196
2000090	0.6202777486937556	0.034031129512221696	0.1793103448275862	0.4	123.9448275862069	11705.641379310346	145
2000094	0.6056080024660129	0.006807926155606381	0.047619047619047616	0.19047619047619047	16.38095238095238	11830.0	21
2000096	0.2178778415485033	6.984567312712586e-05	0.0	0.0	1.3333333333333333	11848.0	3
2000097	0.6196236665634447	0.03918984397815507	0.36363636363636365	0.5833333333333334	96.21212121212122	11718.977272727272	132
2000100	0.6351340834912262	0.02228907328522071	0.06521739130434782	0.3641304347826087	107.20652173913044	11667.0	184
2000102	0.666922752216125	0.0023444171808327256	0.0	0.0	5.0	11845.0	6
2000103	0.8094873704780401	0.0021942431348487917	0.0	0.0	6.75	11843.0	8
2000104	0.8526570150261692	0.00147218146154432	0.0	0.0	3.6	11846.0	5
2000112	0.6232804404664369	0.043129047255659955	0.3333333333333333	0.6363636363636364	56.63636363636363	11785.0	66
2000117	0.7423454393351552	0.033348736391490365	0.2235294117647059	0.5529411764705883	74.68235294117648	11766.0	85
2000118	0.4180471041042628	0.00022180507389560168	0.0	0.0	1.9764705882352942	11766.0	85
2000119	0.7026177342521547	0.004450721475707122	0.0	0.06666666666666667	12.666666666666666	11836.0	15
2000120	0.5322751490054501	0.002246816671780975	0.0	0.0	17.344827586206897	11793.0	58
2000125	0.4978582580459957	0.0019367526688684397	0.0	0.0625	12.75	11835.0	16
2000128	0.9018690492941231	0.0025399181497209673	0.0	0.0	3.0	11845.0	6
2000130	0.5279349426238042	0.00033904561598006817	0.0	0.0	3.8545454545454545	11796.0	55
2000134	0.7058519612435377	0.0010252158984230101	0.0	0.0	1.9259259259259258	11824.0	27
2000135	0.5937644070046707	0.0007396004926334374	0.0	0.0	5.714285714285714	11837.0	14
2000138	0.6460364214343879	0.006664981586727232	0.037037037037037035	0.1111111111111111	20.814814814814813	11824.0	27
2000139	0.906615026555616	0.05808583899195395	0.0625	0.6875	14.875	11835.0	16
2000141	0.5802425227782735	0.0019167532827764548	0.0	0.038461538461538464	14.692307692307692	11823.0	26
2000142	0.6345261203477086	0.00013637211523722946	0.0	0.0	1.0	11849.0	2
2000150	0.6797842111186135	0.00020382984305428916	0.0	0.0	1.3333333333333333	11848.0	3
2000155	0.9648938551012376	0.0011919103524304173	0.0	0.0	1.0	11835.5	2
2000157	0.7703706599188636	0.020914069868747297	0.08064516129032258	0.2903225806451613	32.87096774193548	11789.0	62
2000171	0.7542855534920367	0.0007556706613264817	0.0	0.0	2.4	11846.0	5
2000175	0.7510819540618139	0.012580847944386485	0.0	0.3333333333333333	5.777777777777778	11842.0	9
2000181	0.8862419138279961	0.24157414120417162	0.45695364238410596	0.9072847682119205	125.40397350993378	11700.0	151
2000187	0.4839411334346334	0.0002604733008013308	0.0	0.0	3.2	11846.0	5
2000193	0.6662596693559864	0.13338281408315306	0.6857142857142857	0.8857142857142857	22.857142857142858	11816.0	35
2000204	0.35203072949355474	0.00014192443884154335	0.0	0.0	1.8666666666666667	11836.0	15
2000219	0.3733639501762179	0.00011684529975188633	0.0	0.0	1.8666666666666667	11836.0	15
2000221	0.34144760134537083	0.0002469730845269818	0.0	0.0	1.8666666666666667	11836.0	15
2000235	0.5148455920188623	0.00045302216685588374	0.0	0.0	4.714285714285714	11837.0	14
2000237	0.6412971407482471	0.0018164825349853454	0.0	0.0	4.0	11842.0	9
2000265	0.2894515607661504	0.0001755869629623758	0.0	0.0	2.857142857142857	11844.0	7
2000268	0.819561039545842	0.0021705374275890477	0.0	0.0	4.285714285714286	11844.0	7
2000284	0.7040657930542653	0.0026878764346902765	0.0	0.0	8.4	11841.0	10
2000304	0.282677807787531	7.742088324726045e-05	0.0	0.0	1.3333333333333333	11848.0	3
2000308	0.5649711124026077	0.030579298741729863	0.18518518518518517	0.2222222222222222	10.37037037037037	11824.0	27
2000314	0.8627044607423312	0.0009028045594727108	0.0	0.0	1.75	11843.0	8
2000318	0.3363226405977335	0.00035642408617128803	0.0	0.0	5.066666666666666	11836.0	15
2000320	0.5578163260998058	0.0003544313395694148	0.0	0.0	3.0	11843.0	8
2000325	0.5057222644269999	0.00013112689146836329	0.0	0.0	1.5	11847.0	4
2000326	0.5918932770271215	0.0103916578122677	0.04132231404958678	0.15702479338842976	66.99173553719008	11730.0	121
2000335	0.502833624760999	0.004696112682386665	0.05405405405405406	0.10810810810810811	26.10810810810811	11814.0	37
2000349	0.7307005363932645	0.03203892342848814	0.125	0.5625	13.375	11835.0	16
2000353	0.6127064564564564	0.006165180081475657	0.0	0.09090909090909091	3.272727272727273	11840.0	11
2000358	0.8100540214678451	0.09588148162643953	0.2222222222222222	0.5555555555555556	5.111111111111111	11842.0	9
