index	auroc	auprc	hit1	hit10	n_true_pos	n_true_neg
count	11884.0	11884.0	11884.0	11884.0	11884.0	11884.0
mean	0.7016819812514651	0.054244326289086084	0.15188488724335242	0.34828340626051835	225.1932009424436	22763.815382026252
std	0.15581074689200414	0.1062719661167984	0.35892437729906196	0.47644640474641536	292.07132699577073	319.53400400358663
min	0.025114947514531083	2.2242982339072023e-05	0.0	0.0	1.0	22012.0
25%	0.6123139359521079	0.0021008403361344537	0.0	0.0	16.0	22717.0
50%	0.7046482417012588	0.012048885813472346	0.0	0.0	87.0	22922.0
75%	0.8106216752490472	0.0516336964036157	0.0	1.0	316.0	22988.0
max	0.999976446203128	0.9900032886157545	1.0	1.0	1045.0	23056.0
