index	auroc	auprc	hit1	hit10	n_true_pos	n_true_neg
count	8105.0	8105.0	8105.0	8105.0	8105.0	8105.0
mean	0.6902664076351178	0.03844395395783962	0.09796421961752005	0.28599629858112274	142.79259716224553	15297.006045650833
std	0.16879964747284368	0.07895181046277532	0.29728460343955315	0.4519154937712176	175.1354596153725	189.95395760510607
min	0.0800725691750711	3.5744924220760655e-05	0.0	0.0	1.0	14914.0
25%	0.5926524455936221	0.002615174797050762	0.0	0.0	12.0	15247.0
50%	0.7069999029251877	0.011799667427589443	0.0	0.0	61.0	15386.0
75%	0.8134155286604966	0.03877259658445886	0.0	1.0	204.0	15429.0
max	0.9999676647481084	0.8070676280106222	1.0	1.0	566.0	15479.0
