index	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
count	181.0	181.0	181.0	181.0	181.0	181.0	181.0
mean	0.6068609846302454	0.018359184073861945	0.047423312531933486	0.12970616665437032	23.110345692975702	11815.929465913276	34.86740331491713
std	0.21176248812784823	0.05498143093665876	0.12603860191882937	0.21925391382637302	50.45005998879	58.95303001826238	58.98826708571225
min	0.03652295939900397	4.496216976061521e-05	0.0	0.0	1.0	11394.0	2.0
25%	0.4982767369055392	0.0006908101045258086	0.0	0.0	2.0	11810.0	5.0
50%	0.6115448462112543	0.0025794584735262475	0.0	0.0	5.714285714285714	11835.5	15.0
75%	0.7672532635606572	0.011776964780254287	0.018867924528301886	0.15577889447236182	21.47826086956522	11845.0	41.0
max	0.9969195712718373	0.5225562712755251	0.9714285714285714	0.9714285714285714	389.34792122538295	11849.0	457.0
