CF	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
2000000	0.7417335853633982	0.045224065087739566	0.15555555555555556	0.6	72.68888888888888	9751.6	90
2000001	0.7981586882135718	0.0006550386637296608	0.0	0.0	1.3333333333333333	9839.0	3
2000002	0.27771047140321536	0.00041065208286496116	0.0	0.0	5.379310344827586	9813.0	29
2000003	0.7987534685570802	0.012594793267950112	0.0	0.14705882352941177	3.823529411764706	9808.0	34
2000009	0.6056652193941243	0.007502652704907715	0.02040816326530612	0.14285714285714285	31.224489795918366	9793.0	49
2000014	0.5862740429966166	0.0488599830079693	0.15737704918032788	0.3836065573770492	281.71803278688526	9536.777049180328	305
2000016	0.7310407422377458	0.043044179466296656	0.145985401459854	0.4744525547445255	118.83211678832117	9704.817518248175	137
2000021	0.9826550877347359	0.22076815555969176	0.4117647058823529	0.5294117647058824	6.470588235294118	9824.058823529413	17
2000024	0.1900046641057112	0.0001468950618949731	0.0	0.0	1.9692307692307693	9777.0	65
2000025	0.7639991285347284	0.027823985241641834	0.14634146341463414	0.4878048780487805	20.48780487804878	9801.0	41
2000030	0.787521980824546	0.02878387045713719	0.16666666666666666	0.5	31.61111111111111	9806.0	36
2000031	0.8642870076280355	0.18676346392933443	0.6068376068376068	0.8247863247863247	202.04273504273505	9608.0	234
2000032	0.6032709963749704	0.01116674493723952	0.0	0.0	1.3333333333333333	9839.0	3
2000036	0.7526404047972028	0.03578781819243859	0.14754098360655737	0.5245901639344263	58.19672131147541	9781.0	61
2000041	0.8150275815454388	0.007591876542910393	0.0	0.14285714285714285	5.714285714285714	9828.0	14
2000045	0.9071076438300467	0.0035077131141653126	0.0	0.0	2.0	9838.0	4
2000047	0.7026876557314681	0.05521337956148667	0.3898305084745763	0.6101694915254238	49.6271186440678	9783.0	59
2000048	0.8059332362773141	0.11511459063166633	0.5189873417721519	0.7341772151898734	49.164556962025316	9762.721518987342	79
2000049	0.7181396014800994	0.0005423429237791064	0.0	0.0	1.962962962962963	9788.0	54
2000051	0.8109827246621041	0.2528107954754394	0.6617283950617284	0.9037037037037037	345.6	9437.0	405
2000058	0.8064494169952935	0.009606361460742448	0.047619047619047616	0.09523809523809523	3.619047619047619	9821.0	21
2000062	0.8263838441507142	0.06110329932761868	0.1935483870967742	0.41935483870967744	21.93548387096774	9811.0	31
2000067	0.5891631468894595	0.005926770184232193	0.0	0.038461538461538464	37.02564102564103	9764.0	78
2000068	0.552964780838103	0.0008985572650460986	0.0	0.0	6.25	9834.0	8
2000069	0.6839804861518536	0.009724735540238186	0.0	0.19047619047619047	10.285714285714286	9821.0	21
2000073	0.6811776917953275	0.011442296049558268	0.0	0.2571428571428571	28.571428571428573	9806.085714285715	35
2000077	0.7743350397783227	0.01098216859656401	0.04	0.1	9.28	9792.0	50
2000080	0.6936353823905788	0.028957319305287346	0.25333333333333335	0.5866666666666667	71.14666666666666	9766.973333333333	75
2000081	0.5675405103680995	0.00024196266381258855	0.0	0.0	1.8888888888888888	9824.0	18
2000085	0.7705502100325408	0.11851032639981766	0.5114942528735632	0.8333333333333334	140.0344827586207	9668.0	174
2000090	0.7733388951299079	0.13232278277760712	0.5151515151515151	0.696969696969697	113.95454545454545	9709.666666666666	132
2000094	0.8729027064107282	0.015838856668970384	0.0	0.25	15.3	9822.0	20
2000096	0.6317835365853659	0.00013855060859892368	0.0	0.0	1.0	9840.0	2
2000097	0.7305443871331725	0.11546210258318827	0.5284552845528455	0.6829268292682927	91.20325203252033	9718.975609756097	123
2000100	0.6940148385244761	0.046749003115262214	0.23976608187134502	0.543859649122807	101.47368421052632	9671.0	171
2000102	0.8600938728480413	0.004316111698895575	0.0	0.0	5.0	9836.0	6
2000103	0.8957921738962007	0.006313209952624212	0.0	0.125	6.75	9834.0	8
2000104	0.9718723526820507	0.01593463957349993	0.0	0.2	3.6	9837.0	5
2000112	0.9093412475147968	0.16675132652543104	0.3484848484848485	0.6363636363636364	56.45454545454545	9776.0	66
2000117	0.7471608032619723	0.07989749144666754	0.3670886075949367	0.6582278481012658	69.41772151898734	9763.0	79
2000118	0.608363134830513	0.00031383206515378883	0.0	0.0	1.974025974025974	9765.0	77
2000119	0.8033730041540157	0.010823811035859878	0.0	0.26666666666666666	12.666666666666666	9827.0	15
2000120	0.7124165870098393	0.00998388666892371	0.0	0.047619047619047616	13.761904761904763	9800.0	42
2000125	0.5469447765016097	0.001974789666445755	0.0	0.0	11.733333333333333	9827.0	15
2000128	0.997433682284785	0.5074154305139542	0.6666666666666666	0.6666666666666666	1.3333333333333333	9839.0	3
2000130	0.4333493075801749	0.00032743890485461077	0.0	0.0	3.8095238095238093	9800.0	42
2000134	0.6374422557308463	0.0009519459021221255	0.0	0.0	1.75	9834.0	8
2000135	0.7702976917262632	0.0033405620952238466	0.0	0.0	5.714285714285714	9828.0	14
2000138	0.7602983435152111	0.017180972458318913	0.0	0.25	18.75	9818.0	24
2000139	0.9744409571787193	0.20095706757608636	0.375	0.8125	14.875	9826.0	16
2000141	0.5820933598208625	0.001660996401622152	0.0	0.0	11.909090909090908	9818.0	22
2000142	0.7621697154471544	0.0002297498501674046	0.0	0.0	1.0	9840.0	2
