index	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
count	688.0	688.0	688.0	688.0	688.0	688.0	688.0
mean	0.7958702518961321	0.04193149376445432	0.07168494393702726	0.15689993278290046	7.722535155979982	11838.844476744185	12.155523255813954
std	0.14837625976191476	0.11400274314402083	0.17668950951254875	0.2556491448840302	13.199095887007626	16.968090568546558	16.968090568546558
min	0.14710179300904083	4.972024359730424e-05	0.0	0.0	1.0	11735.0	2.0
25%	0.7158105505617023	0.000779240793775463	0.0	0.0	1.5	11838.0	3.0
50%	0.8156639649849764	0.0032360934323567908	0.0	0.0	3.0	11845.0	6.0
75%	0.9015328426257421	0.019803413829061527	0.0	0.25	7.555555555555555	11848.0	13.0
max	1.0	1.0	1.0	1.0	101.23076923076923	11849.0	116.0
