index	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
count	181.0	181.0	181.0	181.0	181.0	181.0	181.0
mean	0.7402316691020334	0.023006762604401595	0.05184241313632839	0.14069969289050696	41.027605787096995	22992.89986227066	65.66298342541437
std	0.15021540350210189	0.06870091677551841	0.1338026069458338	0.2266512832119837	103.12525722563703	122.68881798125953	122.76536884980023
min	0.34819569743233864	4.319872714556223e-05	0.0	0.0	1.0	22013.0	2.0
25%	0.6517358887396848	0.000531607174708567	0.0	0.0	3.0	22986.76388888889	9.0
50%	0.7464909225594075	0.0031065188649613768	0.0	0.0	9.375	23031.0	27.0
75%	0.864423272484733	0.013763822409566074	0.024390243902439025	0.18181818181818182	35.77777777777778	23050.0	72.0
max	0.9961740771377182	0.6490521700670883	0.8852459016393442	0.9016393442622951	884.2313575525812	23057.0	1046.0
