index	auroc	auprc	hit1	hit10	n_true_pos	n_true_neg
count	8104.0	8104.0	8104.0	8104.0	8104.0	8104.0
mean	0.6001048347625935	0.03925110902145188	0.11340078973346496	0.2968904244817374	142.79689042448175	15295.9967917078
std	0.20614091330786832	0.08235090588892356	0.3171016532614829	0.45691603382276574	175.14694089479687	189.96481611288633
min	0.004334044892942646	3.248229714805431e-05	0.0	0.0	1.0	14913.0
25%	0.49702108287790225	0.001736821541123692	0.0	0.0	12.0	15246.0
50%	0.6193426184366437	0.008934573257722647	0.0	0.0	61.0	15385.0
75%	0.7419747383804887	0.03467704109297293	0.0	1.0	204.0	15428.0
max	0.9999438016025115	0.9766624735539864	1.0	1.0	566.0	15478.0
